external_id,title,short_title,description,category,tags,start_datetime,end_datetime,venue_title,venue_address,venue_lat,venue_lon,price_min,price_raw,is_free,age_restriction,image_url,site_url,source,parsed_at
,Спектакль Болезни молодости,Спектакль Болезни молодости,"Купить билеты на Болезни молодости в городе Санкт-Петербург, Курляндская ул., д. 49. Начало 4 августа 2026, цена — от 1500₽ до 2200₽.",theater,,4 августа 2026,,Театр Поколений,,,,1500,от 1500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/bolezni-molodosti-254404/og.png,https://kaverafisha.ru/saint-petersburg/events/bolezni-molodosti-254404,kaver,2026-07-12 00:22:30
,Спектакль Вий,Спектакль Вий,"Купить билеты на Вий в городе Санкт-Петербург, Садовая ул., 27. Начало 7 августа 2026, цена — от 800₽ до 4000₽.",theater,,7 августа 2026,,Приют комедианта,,,,800,от 800 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/viyy-256249/og.png,https://kaverafisha.ru/saint-petersburg/events/viyy-256249,kaver,2026-07-12 00:22:33
,Спектакль Киса,Спектакль Киса,"Купить билеты на Киса в городе Санкт-Петербург, Садовая ул., 27. Начало 10 августа 2026, цена — от 800₽ до 3500₽.",theater,,10 августа 2026,,Приют комедианта,,,,800,от 800 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/kisa-267098/og.png,https://kaverafisha.ru/saint-petersburg/events/kisa-267098,kaver,2026-07-12 00:22:35
,Спектакль Мать Тьма,Спектакль Мать Тьма,"Купить билеты на Мать Тьма в городе Санкт-Петербург, ул. Чайковского, 16. Начало 17 августа 2026, цена — 1600₽.",theater,,17 августа 2026,,Курт,"ул. Чайковского, 16",,,1000,от 1000 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/mat-tma-252496/og.png,https://kaverafisha.ru/saint-petersburg/events/mat-tma-252496,kaver,2026-07-12 00:22:37
,Спектакль Риф,Спектакль Риф,"Купить билеты на Риф в городе Санкт-Петербург, Московский проспект 107 к.5. Начало 17 августа 2026, цена — от 2000₽ до 2800₽.",theater,,17 августа 2026,,Театральная площадка «Скороход»,проспект 107 к.5 Начало: 17 августа 2026 в 19:00 Завершени,,,2000,от 2000 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/rif-308510/og.png,https://kaverafisha.ru/saint-petersburg/events/rif-308510,kaver,2026-07-12 00:22:39
,Спектакль Близкие люди,Спектакль Близкие люди,"Купить билеты на Близкие люди в городе Санкт-Петербург, Московский проспект 107 к.5. Начало 18 августа 2026, цена — от 2000₽ до 2500₽.",theater,,18 августа 2026,,Театральная площадка «Скороход»,проспект 107 к.5 Начало: 18 августа 2026 в 20:00 Завершени,,,2000,от 2000 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/blizkie-lyudi-308512/og.png,https://kaverafisha.ru/saint-petersburg/events/blizkie-lyudi-308512,kaver,2026-07-12 00:22:41
,Одиссея (Odyssey) 2026,Одиссея (Odyssey) 2026,"Купить билеты на Одиссея (Odyssey) 2026 в городе Санкт-Петербург, Кожевенная линия, 30. Начало 18 июля 2026, цена — от 5500₽ до 13500₽.",festival,,18 июля 2026,,Брусницын,,,,5500,от 5500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/odyssey-festival-297864/og.png,https://kaverafisha.ru/saint-petersburg/events/odyssey-festival-297864,kaver,2026-07-12 00:22:44
,Взаимно.фест,Взаимно.фест,"Купить билеты на Взаимно.фест в городе Санкт-Петербург, улица Некрасова, 3-5. Начало 26 июля 2026, цена — от 3500₽ до 15000₽.",festival,,26 июля 2026,,АТС,"улица Некрасова, 3",,,3500,от 3500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/vzaimnofest-297178/og.png,https://kaverafisha.ru/saint-petersburg/events/vzaimnofest-297178,kaver,2026-07-12 00:22:46
,Трибьют фестиваль (Tribute City Fest),Трибьют фестиваль (Tribute City Fest),"Купить билеты на Трибьют фестиваль (Tribute City Fest) в городе Санкт-Петербург, Музпорт, площадь Морской Славы, 1, парковка Морского вокзала. Начало 9 августа 2026, цена — от 1000₽ до 1800₽.",festival,,9 августа 2026,,,"площадь Морской Славы, 1",,,1000,от 1000 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/tribyut-festival-tribute-city-fest-315227/og.png,https://kaverafisha.ru/saint-petersburg/events/tribyut-festival-tribute-city-fest-315227,kaver,2026-07-12 00:22:48
,Антон тут рядом,Антон тут рядом,"Купить билеты на Антон тут рядом в городе Санкт-Петербург, Кожевенная линия, 40Б. Начало 26 августа 2026, цена — 2000₽.",festival,,26 августа 2026,,Севкабель Порт,,,,1500,от 1500 ₽,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/festival-anton-tut-ryadom-243565/og.png,https://kaverafisha.ru/saint-petersburg/events/festival-anton-tut-ryadom-243565,kaver,2026-07-12 00:22:51
